	pl	csb
0	Lista czujników udostępnianych przez podłączone komputery. Kliknij i przeciągnij czujnik na wolne pole widoku. Pojawi się widok prezentujący dane dostarczane przez czujnik. Niektóre widoki pozwalają na jednoczesne obrazowanie danych z kilku czujników. Zwyczajnie przeciągnij następne czujniki, aby dodać je do widoku.	Lësta ùzérôczów ùprzëstãpniónëch przez pòdłączoné kòmpùtrë. Klëkni ë przëcygni ùzérôcz na wòlny plac robòczy bòdżi. Zjôwi sã wëzdrzatk pòkôzujący pòdôwczi ladowóné przez ùzérôcz. Niechtërné wëzdrzatczi mògą jednoczasno òbrôzowac pòdôwczi z czilu ùzérôczów. Zwëkòwò przecygni zôstné ùzérôczë, abë dodac je do wëzdrzatkù.
1	Kiedy ta opcja jest zaznaczona, dekoracje rysowane będą z uchwytem zmiany rozmiaru okna w prawym, dolnym rogu. W przeciwnym wypadku uchwyt nie będzie rysowany.	Czedë ta òptacëjô je zaznaczonô, òbstrojënczi céchòwóné bãdą z chwëtã zmianë miarë òkna w prawim, dolnëm rogù. W procëmnym razu chwët nie mdze céchòwóny.
2	Wystąpił błąd krytyczny. Proszę przeczytać informacje w dzienniku KDM albo skontaktować się z administratorem systemu.	Wëstãpiła kriticznô fela. Proszã przëczëtac wëdowiédzë w dniewnikù KDM abò skòntaktowac sã ze sprôwnikã systemù.
3	"Pobieranie podcastu ""% 1"""	"Ladowanié podcastu ""% 1"""
4	Uruchom tylko testy. js	Zrëszë le testë. js
5	1200 dpi, fotografia, bez marginesów, pojemnik z atramentami kolorowymi, papier fotograficzny	1200 dpi, òdjimk, felënk zberków, zabiérnik z farwnëma tintama, òdjimny papiór
6	Kolor domyślny	Domëszlnô farwa
7	Przewiń papier	Przewiń papiór
8	LRM Lewa- do- prawejQUnicodeControlCharacterMenu	QUnicodeControlCharacterMenu
9	Nie znaleziono okładek.	Nie je nalazłô niżódnô òbkłôdka
10	Ameryka/ Tijuana	Amerika/ Tijuana
11	Własny tytuł:	Swój titel:
12	Serwer Nepomuka - zarządza przechowywaniem danych Nepomuka i usługami	Serwera Nepomuk - sprôwiô serwisama ë dostónkama Nepomuka
13	Osiągnięto koniec dokumentu.	Je zwënégòwóny kùńc dokùmentu.
14	Programy graficzne, takie jak programy do rysowania i przeglądarki obrazówComment	Graficzné aplikacëje jakno do malënków ë przezéraniô òbrôzkówComment
15	Konflikt ze standardowym skrótem programu	Zwada ze sztandardową skrodzëną programë
16	przełącza na tryb synchroniczny dla debugera	przëstôwiô na sychroniczny trib dlô debùgera
17	Odtwarzacz multimedialny	Mùltimedialny grôcz
18	Moje ulubione utwory	Mòje lubòtné sztëcczi
19	& Nie zapisuj	& Nie zapisëjë
20	"Liczba odczytanych bajtów. Więcej informacji w ""Co to jest""."	Wielëna przeczëtónych bajtów. Òbôczë pòmòc „ Céż to je “ do dobëcô wicy wëdowiédzë.
21	Zastępuje dane wystąpienie nieznanego słowa w tekście tekstem wybranym z listy powyżej (po lewej).	Klëkni tuwò bë zastãpic wińdzenié nieznónegò słowa w teksce, wëbrónym tekstã z lëstë wëżi (z lewa).
22	Nazwa@ title: column	Miono@ title: column
23	Tryb oszczędny	Òbszcządny trib
24	EuroName	EùroName
25	Identyfikator użytkownika:	Identyfikatora brëkòwnika:
26	Przejdź jeden krok wstecz w przeglądaniu historii	Biéj jeden krok nazôd w przezéraniô historëji
27	"%s: nie można połączyć się do nadrzędnego ekranu ""%s"""	"%s: ni mòże sparłãczëc sã z wëższim ekranã ""%s"""
28	Nieznany	Nieznóny
29	Imię i nazwisko tłumacza po angielsku	Twòjé miono pò anielskù:
30	Operacja przerwana.	Òperacëjô òprzestónô.
